split,accuracy,precision,recall,f1,roc_auc
val,0.9793045031020352,0.04978813559322034,0.8703703703703703,0.09418837675350701,0.9921926533772409
test,0.978642188494047,0.03611971104231166,0.8536585365853658,0.06930693069306931,0.9878251242088051
