model,variant,split,precision_0,precision_1,threshold
baseline,default,test,"{'precision': 0.9998606045117673, 'recall': 0.9787587273430215, 'f1-score': 0.9891971406900039, 'support': 43971.0}","{'precision': 0.03611971104231166, 'recall': 0.8536585365853658, 'f1-score': 0.06930693069306931, 'support': 41.0}",
baseline,tuned,test,"{'precision': 0.9995224993747016, 'recall': 0.9997043505947102, 'f1-score': 0.999613416714042, 'support': 43971.0}","{'precision': 0.6060606060606061, 'recall': 0.4878048780487805, 'f1-score': 0.5405405405405406, 'support': 41.0}",0.999876591861548
